TRADEDATE,Open,High,Low,Close,Volume
2023-03-30,217.3,218.45,216.12,216.87,40886950
2023-03-31,217.2,217.35,211.3,216.6,88081360
2023-04-03,218.45,219.44,214.8,216.09,55175630
2023-04-04,216.2,217.29,213.8,214.83,45803380
2023-04-05,214.65,216.3,211.4,216.15,46177490
2023-04-06,216.3,217.38,214.07,214.25,39061450
2023-04-07,214.5,216.39,213.65,216.27,29198130
2023-04-10,217.1,222.26,216.61,222.21,85196000
2023-04-11,222.9,223.33,217.62,218.6,98538370
2023-04-12,218.6,219.7,216.67,219.22,44767540
2023-04-13,219.49,220.89,218.0,219.85,32672160
2023-04-14,220.0,222.5,218.51,221.87,43316040
2023-04-17,222.98,228.2,222.91,228.1,78797270
2023-04-18,227.89,232.76,227.05,232.66,97770120
2023-04-19,232.67,237.37,231.1,232.95,115713300
2023-04-20,233.32,236.47,229.84,236.28,85093750
2023-04-21,237.4,238.85,233.52,235.17,115905760
2023-04-24,235.07,236.4,234.1,235.1,30536770
2023-04-25,235.13,235.82,234.21,235.3,32187450
2023-04-26,235.6,235.95,234.91,235.21,24430320
2023-04-27,235.59,240.74,235.13,240.38,68311610
2023-04-28,240.9,241.58,237.66,240.38,49583350
2023-05-02,242.2,245.0,237.4,242.62,83957810
2023-05-03,242.85,242.99,234.0,235.77,76827180
2023-05-04,236.89,239.74,236.05,238.89,53079590
2023-05-05,239.24,240.66,237.3,237.7,61366140
2023-05-08,238.69,239.86,237.36,238.27,47865890
2023-05-10,216.5,227.5,215.7,227.06,156874740
2023-05-11,228.87,235.38,223.94,229.32,197302410
2023-05-12,231.0,232.47,226.15,229.29,70528170
2023-05-15,230.51,231.75,228.52,231.7,49090190
2023-05-16,232.4,232.86,229.57,230.62,36613690
2023-05-17,229.86,230.97,228.75,230.55,31770380
2023-05-18,231.7,234.49,230.72,231.7,56228190
2023-05-19,230.99,232.3,229.81,231.27,31639980
2023-05-22,232.2,232.78,230.0,231.0,26487190
2023-05-23,231.25,237.29,230.21,236.43,63010540
2023-05-24,237.49,246.13,236.26,246.06,86011970
2023-05-25,246.1,247.4,242.65,243.76,70882360
2023-05-26,243.45,249.64,242.81,248.1,69202730
2023-05-29,249.78,252.59,248.85,251.18,67999610
2023-05-30,248.84,250.85,243.8,244.65,83533260
2023-05-31,244.0,247.18,240.27,246.17,72912500
2023-06-01,247.0,247.0,240.57,241.66,52046910
2023-06-02,242.0,245.5,240.77,243.95,46542940
2023-06-05,243.51,244.15,235.1,237.12,78742190
2023-06-06,235.92,242.1,232.54,240.91,100640180
2023-06-07,241.2,244.39,238.56,241.25,63130930
2023-06-08,241.3,242.78,239.55,241.77,29945470
2023-06-09,242.8,243.0,240.11,240.4,27569100
2023-06-13,241.51,244.5,240.63,244.33,40551890
2023-06-14,245.7,247.68,242.8,244.6,52205640
2023-06-15,245.11,245.94,243.22,245.18,40063590
2023-06-16,245.5,245.9,243.7,243.87,23441160
2023-06-19,244.47,244.69,241.32,242.28,29844240
2023-06-20,241.99,242.22,238.82,241.74,36621960
2023-06-21,241.9,243.92,240.6,242.2,26830770
2023-06-22,242.15,242.8,240.13,240.66,23136750
2023-06-23,239.98,240.99,234.34,235.67,61886110
2023-06-26,239.6,240.5,233.4,238.4,82016390
2023-06-27,239.02,242.34,236.8,241.21,51466410
2023-06-28,241.8,241.8,238.6,239.67,28310570
2023-06-29,239.94,241.26,239.02,239.99,28192150
2023-06-30,240.0,240.68,238.36,239.61,24051460
2023-07-03,240.0,244.56,239.15,243.33,47333310
2023-07-04,243.4,243.78,240.61,240.7,41561500
2023-07-05,241.49,241.9,240.24,240.95,19972080
2023-07-06,241.47,242.47,240.71,240.96,23260340
2023-07-07,241.49,243.75,240.7,243.67,30275210
2023-07-10,244.21,249.45,244.2,249.4,65076680
2023-07-11,250.01,250.2,246.51,247.99,49590820
2023-07-12,248.4,249.2,246.1,247.52,39316540
2023-07-13,247.97,248.15,245.34,246.19,29561460
2023-07-14,246.32,247.05,244.51,246.45,25661560
2023-07-17,244.77,246.2,243.6,245.39,36193390
2023-07-18,245.8,247.5,245.26,246.77,36008340
2023-07-19,247.25,248.1,245.0,245.85,31451760
2023-07-20,246.27,246.27,242.15,242.7,36027010
2023-07-21,243.18,244.53,241.7,244.13,32271770
2023-07-24,244.0,245.85,243.52,244.87,19769440
2023-07-25,245.48,247.77,244.81,247.2,39733390
2023-07-26,247.2,248.33,245.9,247.05,26119270
2023-07-27,247.5,249.3,247.24,247.95,39793470
2023-07-28,248.0,249.45,246.67,249.25,35776620
2023-07-31,251.33,267.77,251.33,267.4,167914420
2023-08-01,269.0,273.35,264.1,268.5,162988910
2023-08-02,268.5,269.97,266.52,268.57,48418320
2023-08-03,269.0,271.35,266.8,269.11,75757120
2023-08-04,269.48,272.96,261.21,264.12,132212230
2023-08-07,266.54,268.09,260.5,261.92,61531090
2023-08-08,261.92,265.44,258.8,264.62,65114820
2023-08-09,265.47,265.8,263.05,263.91,34994150
2023-08-10,264.73,267.5,263.96,266.91,37292060
2023-08-11,267.26,267.4,264.8,266.23,24846460
2023-08-14,267.37,268.77,259.15,260.45,86724810
2023-08-15,259.0,264.17,256.63,260.42,59232630
2023-08-16,261.29,261.68,254.33,256.02,71823620
2023-08-17,257.15,258.8,255.5,258.5,35937920
2023-08-18,258.4,261.37,257.35,261.14,31064600
2023-08-21,262.44,263.06,259.51,261.15,35766040
2023-08-22,261.92,262.11,259.81,261.45,25953320
2023-08-23,261.5,261.83,256.0,256.4,53116160
2023-08-24,257.63,259.94,256.4,259.63,26979270
2023-08-25,258.8,261.6,257.61,260.5,28575150
2023-08-28,261.32,267.83,260.81,266.93,57897070
2023-08-29,266.7,267.56,265.14,265.68,35407330
2023-08-30,265.68,267.36,263.1,264.7,38604380
2023-08-31,265.04,266.25,264.3,264.85,22582290
2023-09-01,265.4,265.62,264.06,265.0,19265170
2023-09-04,266.5,269.11,266.0,267.39,48140770
2023-09-05,266.74,267.98,261.09,264.75,39811860
2023-09-06,264.33,264.68,262.31,263.5,28341890
2023-09-07,263.69,264.97,256.1,258.79,67688600
2023-09-08,258.08,259.33,253.1,255.68,49562810
2023-09-11,257.0,258.37,255.16,256.25,43282460
2023-09-12,257.7,262.4,257.09,262.4,45160820
2023-09-13,262.4,262.77,257.59,258.18,30051360
2023-09-14,258.9,261.38,255.02,260.0,46227900
2023-09-15,259.65,262.74,258.56,260.83,35581630
2023-09-18,262.02,263.0,258.76,259.07,29037560
2023-09-19,258.99,259.32,251.5,252.72,89551540
2023-09-20,252.8,255.47,249.82,253.77,66831270
2023-09-21,252.87,254.2,249.81,250.16,58913730
2023-09-22,249.85,253.1,248.62,251.99,40714900
2023-09-25,252.0,253.49,249.83,252.65,31863690
2023-09-26,252.13,257.17,250.9,255.87,42960400
2023-09-27,256.2,257.85,254.63,256.1,27880630
2023-09-28,256.4,258.25,255.5,257.67,26331160
2023-09-29,258.0,262.59,256.71,260.72,68533310
2023-10-02,261.37,261.92,257.03,258.98,35574470
2023-10-03,258.99,260.5,257.23,259.65,23911430
2023-10-04,259.0,260.39,258.24,259.53,18571620
2023-10-05,260.7,261.39,258.26,259.38,23501620
2023-10-06,259.77,263.4,257.86,262.93,32001280
2023-10-09,263.0,265.97,263.0,265.25,45447720
2023-10-10,264.89,265.18,257.0,263.0,34001290
2023-10-11,263.3,263.99,259.5,260.21,29495790
2023-10-12,260.0,264.5,259.66,264.5,27549160
2023-10-13,264.89,265.04,262.7,263.51,18408670
2023-10-16,264.0,269.2,263.51,268.15,53723180
2023-10-17,268.3,271.97,266.91,270.0,51214360
2023-10-18,270.0,271.19,266.11,267.9,40380530
2023-10-19,267.13,271.0,266.28,268.65,33532880
2023-10-20,268.5,270.3,266.5,269.8,32879730
2023-10-23,270.45,274.1,269.65,270.1,62432160
2023-10-24,270.0,272.06,268.62,271.27,28029860
2023-10-25,271.5,274.96,270.53,273.73,41830970
2023-10-26,274.11,276.0,269.12,269.9,59497750
2023-10-27,269.93,271.98,266.8,269.7,49779630
2023-10-30,269.9,271.55,268.6,269.89,33345990
2023-10-31,270.0,270.5,266.87,268.35,26210450
2023-11-01,268.29,270.3,267.6,269.68,20609480
2023-11-02,270.0,270.98,268.5,269.06,25751530
2023-11-03,269.07,269.78,267.2,268.54,20981280
2023-11-06,269.0,273.87,268.62,273.42,29274160
2023-11-07,273.01,274.78,272.2,273.31,32275170
2023-11-08,273.64,278.35,273.28,278.15,58032670
2023-11-09,278.6,278.85,276.02,276.65,28430630
2023-11-10,276.99,281.3,276.6,280.19,44643290
2023-11-13,280.4,284.8,280.32,283.97,45887770
2023-11-14,283.7,283.88,280.54,280.87,40484810
2023-11-15,280.87,283.93,278.51,282.89,41837690
2023-11-16,282.4,283.69,279.56,279.7,24696600
2023-11-17,279.7,282.5,278.66,281.6,31322320
2023-11-20,281.96,284.2,281.61,282.91,25291010
2023-11-21,282.3,283.82,281.66,282.79,19099390
2023-11-22,283.12,286.67,282.85,286.16,47296890
2023-11-23,286.16,287.77,285.04,286.19,27724080
2023-11-24,286.49,287.5,285.11,286.85,26067870
2023-11-27,287.4,289.0,278.88,282.33,79146090
2023-11-28,282.4,282.51,277.32,279.91,45507410
2023-11-29,279.36,280.56,276.2,276.8,29820830
2023-11-30,276.7,278.65,272.75,277.5,55873540
2023-12-01,277.0,277.98,273.55,273.97,31660970
2023-12-04,273.6,274.95,270.52,270.96,37700740
2023-12-05,271.98,279.65,270.54,279.62,46892570
2023-12-06,279.92,280.79,266.83,267.58,100020030
2023-12-07,267.62,270.44,263.06,265.12,63564530
2023-12-08,266.0,268.23,263.72,265.16,35364310
2023-12-11,265.17,266.47,254.81,256.89,77668070
2023-12-12,256.79,262.88,255.05,257.6,63932170
2023-12-13,257.6,261.39,256.5,260.45,29836400
2023-12-14,261.4,262.75,255.58,256.64,40549660
2023-12-15,256.6,268.91,256.6,268.21,84668740
2023-12-18,268.93,270.44,266.54,268.4,51602470
